# %ECSV 1.0
# ---
# datatype:
# - {name: t_mjd, datatype: float64}
# - {name: t_bjd, datatype: float64}
# - {name: t_visit, datatype: float64}
# - {name: t_orbit, datatype: float64}
# - {name: ivisit, datatype: float64}
# - {name: iorbit, datatype: float64}
# - {name: scan, datatype: float64}
# - {name: spec_opt, datatype: float64}
# - {name: var_opt, datatype: float64}
# - {name: spec_box, datatype: float64}
# - {name: var_box, datatype: float64}
# schema: astropy-2.0
t_mjd t_bjd t_visit t_orbit ivisit iorbit scan spec_opt var_opt spec_box var_box
59455.28521958 2459455.790443138 118.52874018251896 23.382280468940735 0.0 1.0 1.0 664234646.9057617 680206446.6484375 663707552.4487305 682738823.2304688
59455.285925695 2459455.7911492144 119.54548984766006 24.39903013408184 0.0 1.0 0.0 663931847.8349609 679915283.0625 663454538.7905273 682468982.2382812
59455.286631615 2459455.791855094 120.5619565397501 25.415496826171875 0.0 1.0 1.0 664098175.2138672 680130340.2304688 663572339.4296875 682685764.546875
59455.28733773 2459455.792561169 121.57870419323444 26.43224447965622 0.0 1.0 0.0 663889202.8681641 679929289.5898438 663407492.5737305 682563692.890625
59455.288043655004 2459455.7932670517 122.59517557919025 27.44871586561203 0.0 1.0 1.0 664188089.440918 680169925.4609375 663670230.8461914 682744969.3984375
59455.288749765 2459455.793973119 123.61191250383854 28.465452790260315 0.0 1.0 0.0 663823597.7333984 679811443.0390625 663324179.6005859 682426769.9296875
59455.289455695 2459455.794679005 124.62838858366013 29.4819288700819 0.0 1.0 1.0 663977382.5576172 679904658.84375 663460730.3984375 682458336.0273438
59455.2901618 2459455.795385066 125.64511612057686 30.498656406998634 0.0 1.0 0.0 663737409.8178711 679726899.9492188 663266644.0556641 682318584.9570312
59455.29086773 2459455.7960909507 126.66159018874168 31.51513047516346 0.0 1.0 1.0 664016975.418457 680030807.8203125 663496931.078125 682628706.0625
59455.29157384 2459455.796797015 127.67832241952419 32.53186270594597 0.0 1.0 0.0 663741019.8706055 679687733.6015625 663239905.4458008 682228364.8632812
59455.292279764995 2459455.797502893 128.69478709995747 33.54832738637924 0.0 1.0 1.0 663984035.7280273 679930344.1171875 663465507.7055664 682460507.40625
59455.292985880005 2459455.7982089603 129.71152402460575 34.56506431102753 0.0 1.0 0.0 663729155.8154297 679732400.171875 663241304.4462891 682298045.7617188
59455.293691800005 2459455.7989148325 130.72797998785973 35.5815202742815 0.0 1.0 1.0 664010141.5288086 680007054.203125 663499078.1157227 682607849.1914062
59455.294397915 2459455.799620899 131.7447155714035 36.59825585782528 0.0 1.0 0.0 663680602.2866211 679673871.8984375 663196062.4199219 682239141.2460938
59455.29510384 2459455.8003267753 132.76117756962776 37.61471785604954 0.0 1.0 1.0 663931463.065918 679888159.3164062 663418821.4316406 682427323.9960938
59455.295809949996 2459455.801032836 133.7779051065445 38.63144539296627 0.0 1.0 0.0 663610401.043457 679631102.4921875 663131622.0571289 682211324.4414062
59455.29651588 2459455.801738716 134.79437246918678 39.64791275560856 0.0 1.0 1.0 663846242.2792969 679844392.3398438 663307537.6069336 682431223.8632812
59455.297221985 2459455.802444771 135.81109128892422 40.66463157534599 0.0 1.0 0.0 663582839.6630859 679516006.2148438 663107893.387207 682071697.203125
59455.297927915 2459455.8031506506 136.82755798101425 41.68109826743603 0.0 1.0 1.0 663876673.440918 679884532.2734375 663344955.7216797 682418600.953125
59455.335150135 2459455.840371036 190.42491294443607 0.0 0.0 2.0 0.0 661530592.8989258 677407126.1210938 661059861.5073242 679902751.8867188
59455.33585625 2459455.8410771303 191.44168876111507 1.0167758166790009 0.0 2.0 1.0 662699271.5917969 678667721.9375 662184842.362793 681137613.625
59455.33656217 2459455.8417830295 192.45818361639977 2.0332706719636917 0.0 2.0 0.0 661916635.7651367 677887536.1757812 661441006.0605469 680394660.9335938
59455.337268285 2459455.8424891233 193.4749587625265 3.050045818090439 0.0 2.0 1.0 662856273.484375 678765126.0898438 662347362.6606445 681234518.5742188
59455.33797421 2459455.8431950263 194.49145898222923 4.0665460377931595 0.0 2.0 0.0 661986913.03125 677868052.8554688 661493235.3984375 680370588.1328125
59455.33868032 2459455.843901114 195.50822541117668 5.083312466740608 0.0 2.0 1.0 662987383.1425781 678894993.125 662473403.6582031 681360780.3710938
59455.339386249994 2459455.8446070217 196.52473233640194 6.099819391965866 0.0 2.0 0.0 661965184.0717773 677857464.5234375 661490103.597168 680391567.6015625
59455.340092355 2459455.8453131034 197.5414900481701 7.116577103734016 0.0 2.0 1.0 662875725.1630859 678802256.6328125 662372814.184082 681314798.6640625
59455.340798285004 2459455.846019009 198.55799429118633 8.13308134675026 0.0 2.0 0.0 662120840.7119141 678057692.640625 661637982.9345703 680565231.4296875
59455.341504395 2459455.8467250946 199.5747573673725 9.14984442293644 0.0 2.0 1.0 662962605.859375 678894768.296875 662434978.8242188 681368479.1875
59455.34221032 2459455.847430994 200.5912522226572 10.16633927822113 0.0 2.0 0.0 662113961.7958984 678121432.03125 661644542.4902344 680663975.4296875
59455.342916435 2459455.848137083 201.6080206632614 11.18310771882534 0.0 2.0 1.0 663040593.7783203 678986396.2304688 662519910.9853516 681465994.9648438
59455.343622355 2459455.848842975 202.6245054602623 12.199592515826225 0.0 2.0 0.0 662205817.0615234 678152060.1914062 661730721.1186523 680661066.1914062
59455.344328470004 2459455.8495490626 203.6412712186575 13.21635827422142 0.0 2.0 1.0 663041478.3691406 678985666.9140625 662524530.0136719 681452040.2539062
59455.345034394995 2459455.8502549585 204.6577613800764 14.232848435640335 0.0 2.0 0.0 662186715.6625977 678131177.4023438 661726673.7026367 680665313.0546875
59455.345740505 2459455.850961039 205.6745170801878 15.249604135751724 0.0 2.0 1.0 662997335.4970703 678940727.4296875 662484244.8608398 681423757.8554688
59455.346446434996 2459455.8516669376 206.69101126492023 16.26609832048416 0.0 2.0 0.0 662103453.2382812 678003593.484375 661627308.2358398 680532318.8125
59455.347152539995 2459455.852373011 207.70775690674782 17.282843962311745 0.0 2.0 1.0 663000961.7973633 678954564.875 662471778.9667969 681419099.0429688
59455.347858470006 2459455.853078908 208.72424840927124 18.299335464835167 0.0 2.0 0.0 662077430.4428711 678010958.8671875 661609471.7631836 680543848.8164062
59455.34856458 2459455.8537849844 209.7409987449646 19.316085800528526 0.0 2.0 1.0 662932598.0795898 678866853.515625 662408409.9350586 681340299.0117188
59455.349270505 2459455.8544908743 210.75748018920422 20.332567244768143 0.0 2.0 0.0 662034054.3554688 677957787.8710938 661565007.8383789 680487245.4921875
59455.34997662 2459455.8551969533 211.77423387765884 21.34932093322277 0.0 2.0 1.0 662853525.8291016 678784491.5820312 662320002.1958008 681248883.703125
59455.350682539996 2459455.855902836 212.79070526361465 22.36579231917858 0.0 2.0 0.0 662003980.0419922 677939574.2773438 661528782.8056641 680477040.8242188
59455.351388655 2459455.8566089137 213.80745694041252 23.382543995976448 0.0 2.0 1.0 662899011.0556641 678840966.1171875 662377120.1142578 681308474.4179688
