# %ECSV 1.0
# ---
# datatype:
# - {name: nspectra, datatype: float64}
# - {name: t_mjd, datatype: float64}
# - {name: numoutliers, datatype: float64}
# - {name: skymedian, datatype: float64}
# - {name: '# nans', datatype: float64}
# schema: astropy-2.0
nspectra t_mjd numoutliers skymedian "# nans"
286.0 59455.625971985 41.0 32.34668731689453 0.0
287.0 59455.626677915 28.0 23.977108001708984 0.0
288.0 59455.627384025 38.0 30.099735260009766 0.0
289.0 59455.628090135 25.0 24.981998443603516 0.0
290.0 59455.670902540005 43.0 31.18199348449707 0.0
291.0 59455.671608655 26.0 24.754215240478516 0.0
292.0 59455.67231458 43.0 29.84772300720215 0.0
293.0 59455.673020505 24.0 26.951702117919922 0.0
294.0 59455.67372662 41.0 29.02882957458496 0.0
295.0 59455.67443273 28.0 27.504859924316406 0.0
296.0 59455.675138655 37.0 26.243549346923828 0.0
297.0 59455.675844765 33.0 25.447410583496094 0.0
298.0 59455.67655069 36.0 27.78715705871582 0.0
299.0 59455.677256805 26.0 26.02291488647461 0.0
300.0 59455.67796273 36.0 29.684757232666016 0.0
301.0 59455.678668655004 27.0 22.677738189697266 0.0
302.0 59455.679374765 42.0 26.74532127380371 0.0
303.0 59455.680080875 27.0 25.132587432861328 0.0
304.0 59455.680786805 43.0 30.524202346801758 0.0
305.0 59455.681492915 26.0 23.24884796142578 0.0
306.0 59455.682198840004 41.0 30.326587677001953 0.0
307.0 59455.68290495 31.0 21.3018798828125 0.0
308.0 59455.683610875 39.0 27.225034713745117 0.0
309.0 59455.684316804996 30.0 22.937192916870117 0.0
310.0 59455.685022915 43.0 30.352001190185547 0.0
311.0 59455.685729025005 26.0 23.537567138671875 0.0
312.0 59455.68643495 39.0 30.459888458251953 0.0
313.0 59455.687140875 27.0 24.790647506713867 0.0
314.0 59455.68784699 39.0 29.802766799926758 0.0
315.0 59455.6885531 28.0 23.32286834716797 0.0
316.0 59455.689259025 40.0 29.37802505493164 0.0
317.0 59455.68996495 24.0 21.95325469970703 0.0
318.0 59455.69067106 43.0 28.503917694091797 0.0
319.0 59455.691377175 29.0 24.947834014892578 0.0
320.0 59455.6920831 41.0 29.627708435058594 0.0
321.0 59455.692789025 24.0 24.087669372558594 0.0
322.0 59455.69349514 39.0 29.185443878173828 0.0
323.0 59455.694201245 27.0 23.718597412109375 0.0
