================== ==================
        time_model         flux_model
 2459684.671603824                1.0
2459684.6736150538                1.0
 2459684.675626283                1.0
2459684.6776375123                1.0
2459684.6796487416                1.0
2459684.6816599714                1.0
2459684.6836712006                1.0
  2459684.68568243                1.0
 2459684.687693659                1.0
 2459684.689704889                1.0
2459684.6917161183                1.0
2459684.6937273475                1.0
 2459684.695738577                1.0
2459684.6977498066                1.0
 2459684.699761036                1.0
 2459684.701772265                1.0
2459684.7037834944                1.0
 2459684.705794724                1.0
2459684.7078059535                1.0
2459684.7098171827                1.0
 2459684.711828412                1.0
 2459684.713839642                1.0
 2459684.715850871                1.0
2459684.7178621003                1.0
2459684.7198733296                1.0
 2459684.721884559                1.0
2459684.7238957887                1.0
 2459684.725907018                1.0
 2459684.727918247                1.0
2459684.7299294765                1.0
2459684.7319407063                1.0
2459684.7339519355                1.0
 2459684.735963165                1.0
 2459684.737974394                1.0
 2459684.739985624                1.0
 2459684.741996853                1.0
2459684.7440080824                1.0
2459684.7460193117                1.0
2459684.7480305415                1.0
2459684.7500417707                1.0
    2459684.752053                1.0
2459684.7540642293                1.0
 2459684.756075459                1.0
2459684.7580866884                1.0
2459684.7600979176                1.0
 2459684.762109147                1.0
2459684.7641203767                1.0
 2459684.766131606                1.0
2459684.7681428352                1.0
2459684.7701540645                1.0
2459684.7721652943                1.0
2459684.7741765236                1.0
 2459684.776187753                1.0
 2459684.778198982                1.0
 2459684.780210212                1.0
 2459684.782221441                1.0
2459684.7842326704                1.0
2459684.7862438997                1.0
 2459684.788255129                1.0
2459684.7902663588                1.0
 2459684.792277588                1.0
2459684.7942888173                1.0
2459684.7963000466                1.0
2459684.7983112764                1.0
2459684.8003225056                1.0
 2459684.802333735                1.0
 2459684.804344964                1.0
 2459684.806356194                1.0
2459684.8083674232                1.0
2459684.8103786525                1.0
 2459684.812389882                1.0
2459684.8144011116                1.0
 2459684.816412341                1.0
  2459684.81842357                1.0
2459684.8204347994                1.0
 2459684.822446029                1.0
2459684.8244572585                1.0
2459684.8264684877                1.0
 2459684.828479717                1.0
 2459684.830490947                1.0
 2459684.832502176                1.0
2459684.8345134053                1.0
2459684.8365246346                1.0
2459684.8385358644                1.0
2459684.8405470937                1.0
 2459684.842558323                1.0
 2459684.844569552                1.0
 2459684.846580782                1.0
2459684.8485920113                1.0
2459684.8506032405                1.0
  2459684.85261447                1.0
 2459684.854625699                1.0
 2459684.856636929                1.0
 2459684.858648158                1.0
2459684.8606593874                1.0
2459684.8626706167                1.0
2459684.8646818465                1.0
2459684.8666930757                1.0
 2459684.868704305                1.0
2459684.8707155343                1.0
 2459684.872726764                1.0
2459684.8747379933                1.0
2459684.8767492226                1.0
 2459684.878760452                1.0
2459684.8807716817                1.0
 2459684.882782911                1.0
2459684.8847941402                1.0
2459684.8868053695                1.0
2459684.8888165993                1.0
2459684.8908278286                1.0
 2459684.892839058                1.0
 2459684.894850287                1.0
 2459684.896861517                1.0
 2459684.898872746                1.0
2459684.9008839754                1.0
2459684.9028952047                1.0
2459684.9049064345                1.0
2459684.9069176638                1.0
 2459684.908928893                1.0
2459684.9109401223                1.0
 2459684.912951352                1.0
2459684.9149625814                1.0
2459684.9169738106                1.0
  2459684.91898504                1.0
 2459684.920996269                1.0
 2459684.923007499                1.0
2459684.9250187282                1.0
2459684.9270299575                1.0
 2459684.929041187                1.0
2459684.9310524166                1.0
 2459684.933063646                1.0
 2459684.935074875                1.0
2459684.9370861044                1.0
 2459684.939097334                1.0
2459684.9411085634                1.0
2459684.9431197927                1.0
 2459684.945131022                1.0
 2459684.947142252                1.0
 2459684.949153481                1.0
2459684.9511647103                1.0
2459684.9531759396                1.0
2459684.9551871694                1.0
2459684.9571983987                1.0
 2459684.959209628                1.0
 2459684.961220857                1.0
 2459684.963232087                1.0
2459684.9652433163                1.0
2459684.9672545455                1.0
 2459684.969265775                1.0
2459684.9712770046                1.0
 2459684.973288234                1.0
 2459684.975299463                1.0
2459684.9773106924                1.0
 2459684.979321922                1.0
2459684.9813331515                1.0
2459684.9833443807                1.0
  2459684.98535561                1.0
2459684.9873668393                1.0
 2459684.989378069                1.0
2459684.9913892983                1.0
2459684.9934005276                1.0
 2459684.995411757                1.0
2459684.9974229867                1.0
 2459684.999434216                1.0
 2459685.001445445                1.0
2459685.0034566745                1.0
2459685.0054679043                1.0
2459685.0074791336                1.0
 2459685.009490363                1.0
 2459685.011501592                1.0
 2459685.013512822                1.0
 2459685.015524051                1.0
2459685.0175352804                1.0
2459685.0195465097                1.0
2459685.0215577395                1.0
2459685.0235689688                1.0
